RecipeId,Name,CookMins,PrepMins,TotalMins,IngredientList,Quantities,Keywords,Images,RecipeCategory,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
343607,Any Fruit Cobbler,40,10,50,"[""sugar"", ""flour"", ""baking powder"", ""milk"", ""salt"", ""butter""]","[""1"", ""1"", ""1"", ""2/3"", ""1"", ""1/2"", ""1""]","[""< 60 Mins""]",[],Dessert,268.7,12.4,7.8,33.4,156.8,38.0,0.4,25.0,2.4,"[""Mix all ingredients except for the fruit."", ""Melt butter and pour into pan."", ""Pour mixture into pan."", ""Drip fruit into pan evenly, do not spread or cover.  Dough will rise and cover fruit."", ""Bake at 350 for 40 minutes.""]"
34188,Chicken Broccoli Casserole,30,15,45,"[""frozen broccoli"", ""boneless chicken breasts"", ""mayonnaise"", ""curry powder"", ""cheddar cheese""]","[""1"", ""2"", ""1"", ""1"", ""1/3"", ""2"", ""1"", ""2/3""]","[""Chicken Breast"", ""Chicken"", ""Poultry"", ""Vegetable"", ""Meat"", ""< 60 Mins"", ""Oven""]",[],One Dish Meal,307.8,17.4,7.0,54.7,943.5,18.4,2.2,2.5,19.8,"[""Mix together chicken, cream of chicken soup, cream of mushroom soup, mayonnaise, and curry powder."", ""Place thawed broccoli in casserole dish."", ""Pour chicken mixture over broccoli."", ""Top with cheddar cheese and then sprinkle on bread crumbs."", ""Bake at 350\u00b0 for 30 minutes.""]"
438681,Pumpkin Creme Brulee,25,20,45,"[""sugar"", ""sugar"", ""heavy whipping cream"", ""canned pumpkin"", ""vanilla extract"", ""ground cinnamon"", ""ground ginger"", ""ground nutmeg"", ""ground cloves""]","[""8"", ""1/3"", ""1/2"", ""3"", ""3/4"", ""1 1/2"", ""1/2"", ""1/4"", ""1/4"", ""1/4""]","[""< 60 Mins""]",[],Dessert,449.0,37.2,22.1,311.1,96.9,26.1,0.8,21.9,4.5,"[""Preheat oven to 325 degrees."", ""In small bowl, whisk egg yolks and 1/3 cup sugar. In a small saucepan, heat cream over medium heat until bubbles form around sides of pan. Remove from the heat; stir a small amount of hot cream into egg yolk mixture. Return all to the pan, stirring constantly. Stir in the pumpkin, vanilla and spices."", ""Transfer to eight 6-oz ramekins or custard cups. Place ramekins in a baking pan; add 1 in of boiling water to pan. Bake, uncovered, at 325 degrees for 25-30 minutes or until centers are just set (mixture will juggle). Remove ramekins from water bath; cool for 10 minutes. Cover and refrigerate for at least 4 hours."", ""If using a creme brulee torch, sprinkle with remaining sugar. Heat sugar with the torch until caramelized. Serve immediately."", ""If broiling the custards, place ramekins on a baking sheet; let stand at room temperature for 15 minutes. Sprinkle with remaining sugar. Broil 8 inches from the heat for 4-7 minutes or until sugar is caramelized. Refrigerate for 1-2 hours or until firm.""]"
448972,Phyllo Chicken Pot Pie from Frozen Phyllo Dough,45,30,75,"[""chicken broth"", ""carrot"", ""celery"", ""potato"", ""onion"", ""frozen corn kernels"", ""salt"", ""pepper"", ""sage"", ""flour"", ""milk"", ""phyllo dough"", ""butter""]","[""2"", ""3"", ""1"", ""1"", ""1"", ""1/4"", ""1/2"", ""1/2"", ""1/2"", ""1/2"", ""1"", ""1/4"", ""1"", ""20"", ""1/4""]","[""Savory Pies"", ""Chicken"", ""Poultry"", ""Meat"", ""Low Cholesterol"", ""< 4 Hours""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/89/72/jMUZtLMRUGbb1Najlw84_image.jpg""]",Pot Pie,701.9,25.8,11.7,91.5,1558.1,82.5,6.0,4.3,34.4,"[""1.) Place carrots, celery, potatoes and onions into the  chicken broth and cook over med-high until tender. Add frozen peas and corn. Add diced chicken, salt pepper sage and thyme. Simmer over med-low for a few minutes."", ""2.) Whisk  milk and flour together. Add to above mixture and simmer until thickened."", ""3. ) To make pie, overlap 10 sheets of fillo in a 9\\"", ""4.) Bake in preheated 350\u00baF oven for 25 to 40 minutes or until golden brown Let stand 5 minutes. Serve hot."", ""GENERAL FILLO DOUGH HANDLING DIRECTIONS. Allow fillo dough to thaw in refrigerator overnight. Bring to room temperature before using. Carefully unroll fillo sheets onto a smooth, dry surface. Cover fillo completely with plastic wrap, then a damp towel.Keep fillo covered until needed. Do not leave uncovered for more than one minute to avoid drying out. Microwave butter until melted. This will give you a lighter and flakier pastry. Brush each layer of fillo with melted butter, margarine or oil.To prevent edges from cracking, brush edges first and then work into center. Be sure to brush the last layer of fillo with melted butter.Fillings should be chilled and not excessively moist. Fillo may be rolled and refrozen to store when not in use.""]"
482257,Simple but Wonderful Classic Potato Salad,20,20,40,"[""yukon gold potatoes"", ""Red Bliss potatoes"", ""celery"", ""chives"", ""mayonnaise"", ""Dijon mustard"", ""apple cider vinegar"", ""sugar"", ""celery seeds"", ""lemon juice"", ""salt""]","[""2"", ""1/2 - 1"", ""2"", ""1/2"", ""1"", ""2"", ""1"", ""2"", ""1 -2"", ""1 -2""]","[""Vegetable"", ""Free Of..."", ""Memorial Day"", ""Labor Day"", ""< 60 Mins"", ""Stove Top"", ""Easy""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/22/57/picbC3eCm.jpg""]",Potato,324.1,10.4,1.5,7.6,825.4,54.8,4.5,5.2,4.9,"[""Cut potatoes into small cubes and steam (not boil).  Amount of time will depend on size of cubes, I cut mine pretty small so it only takes about 15 minutes.  You want them to be cooked all the way through but not falling apart."", ""When the potatoes are done, empty into a cookie sheet and spread out to cool quickly (I will often use a cooling rack in the cookie sheet to let air circulate better- they cool surprisingly fast this way)."", ""Whisk mayonnaise, mustard, cider vinegar, sugar, celery seed, 1 tsp lemon juice and 1 tsp of salt in a large bowl (use a larger size than you think you'll need so you can mix without making a mess of our counter and floor- learned this one the hard way -- )."", ""Add celery, chives and cooled potatoes to the bowl with the dressing."", ""Using a large spatula, slowly fold the ingredients together.  This will take longer than regular stirring but will keep your potatoes in tact (especially if you over-steam your potatoes!)."", ""Once well mixed, taste for seasonings.  Add additional lemon juice and salt as needed."", ""Tastes best if you allow it to sit in the refrigerator for a couple of hours, but it's not necessary if you're in a time crunch.""]"
204972,Lemon Chicken,15,10,25,"[""boneless skinless chicken breasts"", ""fresh lemon juice"", ""brown sugar"", ""olive oil"", ""oregano"", ""garlic cloves""]","[""4"", ""1/2"", ""2"", ""2"", ""1"", ""2""]","[""Lactose Free"", ""High Protein"", ""Egg Free"", ""Free Of..."", ""High In..."", ""< 30 Mins"", ""Oven"", ""Easy"", ""Inexpensive""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/49/72/picoL7lMw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/49/72/picaXJSWg.jpg""]",Meat,225.6,8.2,1.3,68.4,80.1,9.9,0.2,7.4,27.5,"[""Combine lemon juice, brown sugar, olive oil, garlic, and oregano."", ""Mix well. Can be made earlier in the day and refrigerated, and re-mixed prior to adding to the chicken."", ""Pierce chicken beasts with a fork twice on each side."", ""Combine chicken and marinade and let sit at room temperature (or refrigerated) for 20 - 30 minutes."", ""Preheat BBQ or Oven to 400 degrees. Cook on BBQ 8 minutes each side, or in oven approximately the same on a broiler pan to allow any fat or marinade to escape (time for both BBQ and Oven can differ from these times (i.e. BBQ - outside temp can affect the internal heat of the BBQ. General rule is to cook until juices run clear."", ""***This can also be made on an indoor grill if you have one. I've done that and it turned out great. You can probably  broil it but I've never tried.""]"
349413,"Mushroom, Onion and Thyme Gravy",15,5,20,"[""extra virgin olive oil"", ""onion"", ""button mushrooms"", ""fresh thyme leaves"", ""dried thyme"", ""garlic cloves"", ""gingerroot"", ""unsalted butter"", ""flour"", ""Worcestershire sauce""]","[""2"", ""1"", ""4"", ""1"", ""3"", ""1"", ""4"", ""2"", ""2"", ""1""]","[""Onions"", ""Vegetable"", ""Low Protein"", ""< 30 Mins""]",[],Sauces,122.1,9.9,4.3,17.1,108.9,6.4,0.5,2.0,2.5,"[""Heat oil in a 12\\"", "", "", "", "", "", "", "", ""]"
305952,Garlic Shrimp and Olives,15,10,25,"[""medium shrimp"", ""sherry wine"", ""pimiento"", ""parsley"", ""garlic cloves"", ""capers"", ""tomato paste"", ""black pepper""]","[""6"", ""2"", ""1"", ""1/4"", ""5"", ""1"", ""2"", ""1"", ""1"", ""1/4"", ""3""]","[""Easy""]",[],< 30 Mins,182.9,2.8,0.5,130.3,294.9,7.3,1.2,2.3,18.3,"[""Combine all ingredients except shrimp and pasta in a medium skillet. Bring to boil."", ""Add shrimp. Cook and stir for 4 to 5 minutes or until shrimp turns pink."", ""Remove from heat and serve over cooked fusilli pasta.""]"
187042,Ciabatta  With Hints of Rosemary / Bread Machine,30,30,60,"[""water"", ""bread flour"", ""fast-rising active dry yeast"", ""water"", ""buttermilk"", ""olive oil"", ""bread flour"", ""fresh rosemary"", ""salt"", ""sugar""]","[""7/8"", ""1 1/2"", ""1/2"", ""7/8"", ""1/4"", ""2"", ""3"", ""1/4"", ""1 1/2"", ""1/2"", ""1/4""]","[""Yeast Breads"", ""Breads"", ""European"", ""Low Cholesterol"", ""Healthy"", ""Winter"", ""Savory"", ""Bread Machine"", ""< 60 Mins"", ""For Large Groups"", ""Small Appliance""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/70/42/picCLFRlC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/70/42/pictQWfcs.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/70/42/picWmzi16.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/70/42/picZpiGZa.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/70/42/picF6cp9k.jpg""]",Sourdough Breads,117.1,1.7,0.2,0.1,179.0,21.9,0.8,0.3,3.1,"[""Biga:"", ""Place the biga ingredients in machine according to your manufactures directions. My machine calls for wet first then top with dry."", ""Set machine for dough cycle, press start and let kneed for 5 minutes. Shut machine off and let rise over night at least 12 hours."", ""Dough:"", ""Place the wet ingredients over the biga then top with flour and rosemary. Place salt, sugar and yeast in separate corners."", ""Set machine to basic dough setting press start."", ""When finished remove dough to two bowls covered with an oiled plastic wrap."", ""Place in a draft free warm place and let rise till tripled in size. About 1 hour."", ""Flour 2 cookie sheet pans."", ""Carefully place each dough onto pans. With floured hands shape dough into a rectangle one inch deep. Try not to release any of the air bubbles that were made during the rise."", ""Sprinkle dough with flour and let rise again in a draft free warm place for 30 minutes."", ""Preheat oven to 425 degrees."", ""Bake for 25-30 minutes."", ""Spraying with water during baking gives a crisp crust. Or you can place a couple ice cubes in the oven to release steam which will produce a crisp crust.""]"
174211,Cinnamon  Chocolate Chip Coated Ice Cream Balls,,15,15,"[""granola cereal"", ""vanilla ice cream""]","[""2"", ""2"", ""3/4"", ""10""]","[""Dessert"", ""Kid Friendly"", ""Summer"", ""Sweet"", ""< 15 Mins"", ""Beginner Cook"", ""Freezer"", ""Easy"", ""Inexpensive""]",[],Frozen Desserts,287.8,14.7,6.0,15.8,90.6,35.9,3.4,22.3,5.8,"[""In a large heavy zip-loc plastic bag crush the cereal and granola with a rolling pin."", ""Add in the mini chocolate chips and shake to combine, then place on a plate."", ""Using a metal ice cream scoop remove one scoop of ice cream from container and shape into a ball."", ""Roll each ice cream ball evenly into the crumb mixture then place on freezer-proof baking dish or plate; freeze until very firm."", ""Drizzle the balls with syrup before serving.""]"
203591,Helene's Seductive Prime Rib,30,2,32,"[""flour""]","[""1"", ""3""]","[""Meat"", ""Brunch"", ""< 60 Mins"", ""Oven"", ""Beginner Cook"", ""Easy""]","[""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/35/91/pickbZDg1.jpg""]",Roast Beef,14.2,0.0,0.0,0.0,0.1,3.0,0.1,0.0,0.4,"[""Remove the rost from the refrigerator 2-4 hours before cooking.  This should be at room temperature."", ""Preheat oven to 500 degrees."", ""Put roast in shallow roasting pan, fat side up."", ""Sprinkle with flour and rub flour into the fat."", ""Season with salt and lots of fresh ground pepper."", ""Put roast in hot oven and bake according to weight, about 5 minutes per pound.  For a 4-1/2 - 5 pound roast 25-30 minutes; for an 8-9 pound roast 40-45 minutes; for an 11-12 pound roast 55-60 minutes."", ""When cooking time is finished, turn off the oven."", ""DO NOT OPEN OVEN DOOR AT ANY TIME."", ""Allow roast to remain in oven until oven is lukewarm, about 2 hours."", ""This method of cooking the prime rib will ensure a crunchy brown outside, and the internal heat will be suitable for serving (yum!) medium rare beef for as long as 4 hours.""]"
28296,Baked Mascarpone Cheesecake with Stewed Rhubarb,90,30,120,"[""butter"", ""caster sugar"", ""plain flour"", ""polenta"", ""eggs"", ""cream cheese"", ""mascarpone cheese"", ""vanilla extract"", ""orange, zest of"", ""lemon, zest of""]","[""125"", ""1 1/2"", ""3/4"", ""200"", ""7"", ""600"", ""150"", ""1/4"", ""2"", ""1"", ""1""]","[""Dessert"", ""Cheese"", ""Australian"", ""Weeknight"", ""Oven"", ""< 4 Hours""]",[],Cheesecake,740.5,46.4,27.4,309.2,384.3,68.3,2.1,38.3,14.7,"[""Preheat oven to 180\u00b0C."", ""In a medium bowl combine \u00bda cup of caster sugar, flour and polenta."", ""Pour in melted butter and one egg white, rub together until combined."", ""Grease a 24 cm spring form pan lightly and cover base and sides with baking paper."", ""Press mixture evenly over base and to the top of the tin at the sides using a lightly floured hand to form a neat crust."", ""Place in the freezer for 10 minutes to chill and then bake for 20 minutes or until lightly golden."", ""Set aside to cool."", ""Reduce oven to 160\u00b0C."", ""In a large bowl beat the cream- cheese, mascarpone and remaining sugar with electric mixer on low until smooth and well combined."", ""Add eggs and egg yolk one at a time continuing to beat on a medium low speed."", ""Add cream, vanilla, orange and lemon zests, beating until just combined."", ""(Do not over beat or mixture will curdle)."", ""Pour into cooled shell and bake for 1 hour or until set."", ""Remove from the oven and allow to cool completely."", ""Chill for at least 2 hours before serving."", ""Serve with stewed rhubarb and fresh cream.""]"
